pair,n_z2.0,winrate_z2.0_%,avgpnl_z2.0_%,,n_z2.5,winrate_z2.5_%,avgpnl_z2.5_%,,n_z3.0,winrate_z3.0_%,avgpnl_z3.0_%,,n_z3.5,winrate_z3.5_%,avgpnl_z3.5_%
NBFC | MUTHOOTFIN.NS/IIFL.NS,101,49.5,0.26,,53,54.7,0.88,,17,41.2,-0.51,,5,40,-0.95
NBFC | MUTHOOTFIN.NS/LTF.NS,91,62.6,0.6,,42,50,-0.07,,11,45.5,0.45,,5,40,-1.22
NBFC | MUTHOOTFIN.NS/M&MFIN.NS,91,64.8,1.16,,51,60.8,0.8,,16,50,0.31,,5,20,-2.16
NBFC | MUTHOOTFIN.NS/MANAPPURAM.NS,85,64.7,0.84,,43,69.8,1.35,,23,60.9,0.59,,12,66.7,1.39
NBFC | MUTHOOTFIN.NS/POONAWALLA.NS,100,44,-0.15,,52,46.2,0.13,,20,55,1.05,,5,40,0.24
NBFC | MUTHOOTFIN.NS/SUNDARMFIN.NS,90,66.7,1.09,,42,61.9,1,,14,78.6,3.24,,3,33.3,-0.29
NBFC | PNBHOUSING.NS/ABCAPITAL.NS,77,55.8,0.47,,41,53.7,0.4,,18,55.6,0.93,,10,70,1.85
NBFC | PNBHOUSING.NS/CANFINHOME.NS,88,53.4,0.41,,49,51,0.51,,18,33.3,-0.8,,9,22.2,-1.34
NBFC | PNBHOUSING.NS/IIFL.NS,99,53.5,0.9,,51,56.9,1.33,,20,40,-0.35,,6,0,-4
NBFC | PNBHOUSING.NS/LTF.NS,89,62.9,1.09,,45,57.8,0.88,,20,75,3.18,,9,55.6,1.47
NBFC | PNBHOUSING.NS/M&MFIN.NS,94,52.1,0.36,,41,43.9,-0.36,,19,57.9,0.91,,4,25,-1.57
NBFC | PNBHOUSING.NS/MANAPPURAM.NS,101,53.5,0.81,,57,56.1,1.11,,25,56,0.66,,6,50,-0.2
NBFC | PNBHOUSING.NS/MUTHOOTFIN.NS,83,57.8,1.12,,46,56.5,1.38,,19,57.9,1.09,,9,44.4,-0.46
NBFC | PNBHOUSING.NS/POONAWALLA.NS,95,53.7,0.95,,53,47.2,0.52,,23,43.5,-0.1,,5,40,-0.19
